id,home_id,away_id
1,9,2
2,6,1
3,5,10
4,8,4
5,7,3
6,10,6
7,4,5
8,1,7
9,3,9
10,2,8
11,5,9
12,6,3
13,2,4
14,7,10
15,8,1
16,10,8
17,9,7
18,4,6
19,1,2
20,3,5
21,5,2
22,6,8
23,3,1
24,4,7
25,9,10
26,10,3
27,8,9
28,1,4
29,2,6
30,7,5
31,4,10
32,8,7
33,2,3
34,6,5
35,1,9
36,10,2
37,9,4
38,5,1
39,3,8
40,7,6
